Timestep,Neuron_0,Neuron_1,Neuron_2,Neuron_3,Neuron_4,Neuron_5,Neuron_6,Neuron_7,Neuron_8,Neuron_9,Network_Average
0,-70.00,-70.00,-70.00,-70.00,-70.00,-70.00,-70.00,-70.00,-70.00,-70.00,-70.00
1,-64.31,-70.00,-70.00,-63.44,-70.00,-72.83,-57.92,-59.40,-65.94,-70.00,-66.38
2,-64.31,-72.50,50.00,-63.44,-62.33,-70.00,-57.92,-59.40,-65.94,-70.00,-53.58
3,-64.31,-72.50,50.00,-63.44,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-53.87
4,-64.31,-72.50,-70.00,-63.44,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-65.87
5,-70.00,-70.00,-70.00,-63.44,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-66.19
6,-64.31,-72.50,-70.00,-63.44,-62.33,-72.83,-57.92,-59.40,-70.00,-70.00,-66.27
7,-70.00,-72.50,-70.00,-63.44,-62.33,-72.83,-57.92,-59.40,-70.00,-70.00,-66.84
8,-64.31,-72.50,50.00,-70.00,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-54.52
9,-64.31,-72.50,-70.00,-63.44,-70.00,-72.83,-70.00,-59.40,-65.94,-70.00,-67.84
10,-64.31,-72.50,-70.00,-63.44,-70.00,-72.83,-57.92,-59.40,-65.94,-70.00,-66.63
11,-70.00,-70.00,-70.00,-63.44,-62.33,-70.00,-57.92,-59.40,-65.94,-70.00,-65.90
12,-64.31,-72.50,50.00,-70.00,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-54.52
13,-64.31,-72.50,-70.00,-63.44,-70.00,-72.83,-57.92,-59.40,-70.00,-70.00,-67.04
14,-64.31,-72.50,-70.00,-63.44,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-65.87
15,-64.31,-72.50,-70.00,-70.00,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-66.52
16,-64.31,-72.50,-70.00,-63.44,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-65.87
17,-70.00,-72.50,-70.00,-63.44,-62.33,-72.83,-57.92,-59.40,-65.94,-70.00,-66.44
18,-64.31,-72.50,-70.00,-63.44,-70.00,-72.83,-57.92,-59.40,-65.94,-70.00,-66.63
